quiz_slug,quiz_title_ru,quiz_title_ro,quiz_description_ru,quiz_description_ro,topic_slug,question_ru,question_ro,option1_ru,option1_ro,option2_ru,option2_ro,option3_ru,option3_ro,option4_ru,option4_ro,correct_answer,explanation_ru,explanation_ro
skull-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,skull-bones,Сколько костей в черепе взрослого человека?,Câte oase are craniul unui adult?,18,18,22,22,26,26,30,30,1,Череп взрослого человека состоит из 22 костей,Craniul unui adult constă din 22 de oase
skull-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,skull-bones,Какая кость образует лоб?,Ce os formează fruntea?,Теменная,Parietală,Лобная,Frontală,Височная,Temporală,Затылочная,Occipitală,1,Лобная кость образует лоб и верхнюю часть глазниц,Osul frontal formează fruntea și partea superioară a orbitelor
skull-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,skull-bones,Какая кость не входит в состав черепа?,Ce os nu face parte din craniu?,Решетчатая,Etmoidală,Клиновидная,Sfenoidală,Подъязычная,Hioidă,Слезная,Lacrimală,2,Подъязычная кость расположена на шее и не является частью черепа,Osul hioid este localizat în gât și nu face parte din craniu
skull-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,skull-bones,Где находится затылочное отверстие?,Unde se află foramenul occipital?,В лобной кости,În osul frontal,В затылочной кости,În osul occipital,В височной кости,În osul temporal,В теменной кости,În osul parietal,1,Затылочное отверстие находится в затылочной кости через него проходит спинной мозг,Foramenul occipital se află în osul occipital prin el trece măduva spinării
skull-quiz,Кости черепа,Oasele craniului,Тест на знание костей черепа,Test despre oasele craniului,skull-bones,Какие кости образуют скуловую дугу?,Ce oase formează arcada zigomatică?,Скуловая и височная,Zigomatică și temporală,Скуловая и верхнечелюстная,Zigomatică și maxilară,Височная и теменная,Temporală și parietală,Лобная и скуловая,Frontală și zigomatică,0,Скуловую дугу образуют скуловая и височная кости,Arcada zigomatică este formată din osul zigomatic și temporal
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям руки,Test despre oasele brațului,upper-limb-bones,Сколько костей в кисти руки?,Câte oase are mâna?,18,18,27,27,32,32,35,35,1,Кисть руки содержит 27 костей: 8 запястных 5 пястных и 14 фаланг,Mâna conține 27 de oase: 8 carpiene 5 metacarpiene și 14 falange
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям руки,Test despre oasele brațului,upper-limb-bones,Какая самая длинная кость верхней конечности?,Care este cel mai lung os al membrului superior?,Лучевая,Radială,Локтевая,Ulnară,Плечевая,Humerală,Ключица,Claviculă,2,Плечевая кость - самая длинная кость верхней конечности,Humerusul este cel mai lung os al membrului superior
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям руки,Test despre oasele brațului,upper-limb-bones,Сколько фаланг в большом пальце?,Câte falange are degetul mare?,1,1,2,2,3,3,4,4,1,Большой палец имеет только 2 фаланги в отличие от остальных пальцев,Degetul mare are doar 2 falange spre deosebire de celelalte degete
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям руки,Test despre oasele brațului,upper-limb-bones,Какая кость предплечья со стороны большого пальца?,Ce os al antebrațului este de partea degetului mare?,Локтевая,Ulna,Лучевая,Radius,Плечевая,Humerus,Запястная,Carpiană,1,Лучевая кость находится со стороны большого пальца,Radiusul se află de partea degetului mare
upper-limb-bones-quiz,Кости верхней конечности,Oasele membrului superior,Тест по костям руки,Test despre oasele brațului,upper-limb-bones,Что соединяет плечевой пояс с грудной клеткой?,Ce conectează centura scapulară cu toracele?,Лопатка,Scapula,Ключица,Clavicula,Плечевая кость,Humerus,Грудина,Stern,1,Ключица - единственная кость соединяющая верхнюю конечность с осевым скелетом,Clavicula este singurul os care conectează membrul superior cu scheletul axial
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям ноги,Test despre oasele piciorului,lower-limb-bones,Какая самая длинная кость в теле человека?,Care este cel mai lung os din corpul uman?,Большеберцовая,Tibia,Малоберцовая,Fibula,Бедренная,Femur,Плечевая,Humerus,2,Бедренная кость - самая длинная и прочная кость скелета,Femur este cel mai lung și cel mai puternic os din schelet
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям ноги,Test despre oasele piciorului,lower-limb-bones,Сколько костей в стопе?,Câte oase are piciorul?,22,22,26,26,30,30,33,33,1,Стопа содержит 26 костей: 7 предплюсневых 5 плюсневых и 14 фаланг,Piciorul conține 26 de oase: 7 tarsiene 5 metatarsiene și 14 falange
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям ноги,Test despre oasele piciorului,lower-limb-bones,Как называется коленная чашечка?,Cum se numește rotula?,Надколенник,Rotula,Мыщелок,Condil,Бугристость,Tuberozitate,Головка,Cap,0,Надколенник или коленная чашечка - самая большая сесамовидная кость,Rotula este cel mai mare os sesamoid
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям ноги,Test despre oasele piciorului,lower-limb-bones,Какая кость голени несет основную нагрузку?,Ce os al gambei suportă sarcina principală?,Малоберцовая,Fibula,Большеберцовая,Tibia,Бедренная,Femur,Таранная,Talus,1,Большеберцовая кость несет основную нагрузку массы тела,Tibia suportă sarcina principală a greutății corpului
lower-limb-bones-quiz,Кости нижней конечности,Oasele membrului inferior,Тест по костям ноги,Test despre oasele piciorului,lower-limb-bones,Самая крупная кость предплюсны?,Cel mai mare os tarsian?,Таранная,Talus,Пяточная,Calcaneus,Ладьевидная,Navicular,Кубовидная,Cuboid,1,Пяточная кость - самая крупная кость предплюсны,Calcaneul este cel mai mare os tarsian
spine-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei vertebrale,spine-anatomy,Сколько позвонков в шейном отделе?,Câte vertebre are regiunea cervicală?,5,5,7,7,9,9,12,12,1,Шейный отдел позвоночника состоит из 7 позвонков,Regiunea cervicală a coloanei vertebrale constă din 7 vertebre
spine-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei vertebrale,spine-anatomy,Как называется первый шейный позвонок?,Cum se numește prima vertebră cervicală?,Эпистрофей,Axis,Атлант,Atlas,Промонториум,Promontoriu,Крестец,Sacru,1,Первый шейный позвонок называется атлант,Prima vertebră cervicală se numește atlas
spine-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei vertebrale,spine-anatomy,Сколько позвонков в грудном отделе?,Câte vertebre are regiunea toracică?,7,7,10,10,12,12,14,14,2,Грудной отдел состоит из 12 позвонков,Regiunea toracică constă din 12 vertebre
spine-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei vertebrale,spine-anatomy,Какой отдел имеет физиологический лордоз?,Ce regiune are lordoză fiziologică?,Грудной,Toracică,Шейный,Cervicală,Крестцовый,Sacrală,Копчиковый,Coccigiana,1,Шейный и поясничный отделы имеют физиологический лордоз,Regiunile cervicală și lombară au lordoză fiziologică
spine-quiz,Позвоночник,Coloana vertebrală,Тест по анатомии позвоночника,Test despre anatomia coloanei vertebrale,spine-anatomy,Сколько позвонков срослись в крестец?,Câte vertebre sunt fuzionate în sacru?,3,3,5,5,7,7,9,9,1,Крестец образован 5 сросшимися позвонками,Sacrul este format din 5 vertebre fuzionate
