quiz_slug,quiz_title_ru,quiz_title_ro,quiz_description_ru,quiz_description_ro,question_ru,question_ro,option1_ru,option1_ro,option2_ru,option2_ro,option3_ru,option3_ro,option4_ru,option4_ro,correct_answer
muscles-anatomy,Анатомия мышц,Anatomia mușchilor,Тест на знание основных мышц тела и их функций,Test de cunoaștere a mușchilor principali ai corpului și funcțiile lor,Какая мышца отвечает за поднятие лопатки?,Ce mușchi este responsabil pentru ridicarea omoplatului?,Трапециевидная,Trapez,Мышца поднимающая лопатку,Mușchiul levator scapulae,Ромбовидная,Romboid,Широчайшая,Latissimus dorsi,1
muscles-anatomy,Анатомия мышц,Anatomia mușchilor,Тест на знание основных мышц тела и их функций,Test de cunoaștere a mușchilor principali ai corpului și funcțiile lor,Сколько головок имеет трицепс?,Câte capete are tricepsul?,Одну,Unu,Две,Două,Три,Trei,Четыре,Patru,2
muscles-anatomy,Анатомия мышц,Anatomia mușchilor,Тест на знание основных мышц тела и их функций,Test de cunoaștere a mușchilor principali ai corpului și funcțiile lor,Какая мышца является самой большой в теле человека?,Ce mușchi este cel mai mare din corpul uman?,Широчайшая мышца спины,Latissimus dorsi,Большая ягодичная мышца,Mușchiul gluteu mare,Четырехглавая мышца бедра,Mușchiul cvadriceps,Большая грудная мышца,Mușchiul pectoral mare,1
muscles-anatomy,Анатомия мышц,Anatomia mușchilor,Тест на знание основных мышц тела и их функций,Test de cunoaștere a mușchilor principali ai corpului și funcțiile lor,Где располагается подостная мышца?,Unde se află mușchiul infraspinatus?,На передней поверхности лопатки,Pe suprafața anterioară a omoplatului,На задней поверхности лопатки выше ости,Pe suprafața posterioară a omoplatului deasupra spinei,На задней поверхности лопатки ниже ости,Pe suprafața posterioară a omoplatului sub spină,На плечевой кости,Pe humerus,2
muscles-anatomy,Анатомия мышц,Anatomia mușchilor,Тест на знание основных мышц тела и их функций,Test de cunoaștere a mușchilor principali ai corpului și funcțiile lor,Какая мышца отвечает за сгибание предплечья?,Ce mușchi este responsabil pentru flexia antebrațului?,Трицепс,Triceps,Бицепс,Biceps,Дельтовидная,Deltoid,Плечевая,Brahialis,1
muscles-anatomy,Анатомия мышц,Anatomia mușchilor,Тест на знание основных мышц тела и их функций,Test de cunoaștere a mușchilor principali ai corpului și funcțiile lor,Что является основной функцией грушевидной мышцы?,Care este funcția principală a mușchiului piriformis?,Сгибание бедра,Flexia coapsei,Разгибание бедра,Extensia coapsei,Наружная ротация бедра,Rotația externă a coapsei,Приведение бедра,Adducția coapsei,2
trigger-points,Триггерные точки,Puncte trigger,Тест на знание триггерных точек и их лечения,Test de cunoaștere a punctelor trigger și tratamentul lor,Что такое триггерная точка?,Ce este un punct trigger?,Точка максимальной боли в мышце,Punctul de durere maximă în mușchi,Гиперраздражимый участок в уплотненном пучке мышцы,Zonă hiperiritabilă într-un fascicul muscular îndurată,Место прикрепления мышцы к кости,Locul de atașare a mușchiului la os,Точка акупунктуры,Punct de acupunctură,1
trigger-points,Триггерные точки,Puncte trigger,Тест на знание триггерных точек и их лечения,Test de cunoaștere a punctelor trigger și tratamentul lor,Какой симптом НЕ характерен для триггерной точки в трапеции?,Ce simptom NU este caracteristic punctului trigger în trapez?,Головная боль,Durere de cap,Боль в шее,Durere cervicală,Онемение пальцев ног,Amorțeală a degetelor de la picioare,Ограничение движения головы,Limitarea mișcării capului,2
trigger-points,Триггерные точки,Puncte trigger,Тест на знание триггерных точек и их лечения,Test de cunoaștere a punctelor trigger și tratamentul lor,Сколько времени нужно удерживать компрессию на триггерной точке?,Cât timp trebuie menținută compresia pe un punct trigger?,5-10 секунд,5-10 secunde,30-60 секунд,30-60 secunde,2-3 минуты,2-3 minute,10-15 минут,10-15 minute,1
trigger-points,Триггерные точки,Puncte trigger,Тест на знание триггерных точек и их лечения,Test de cunoaștere a punctelor trigger și tratamentul lor,Какая техника наиболее эффективна при работе с триггерными точками?,Ce tehnică este cea mai eficientă la lucrul cu puncte trigger?,Быстрая вибрация,Vibrație rapidă,Ишемическая компрессия,Compresie ischemică,Легкое поглаживание,Alinare ușoară,Рубление,Tapotare,1
trigger-points,Триггерные точки,Puncte trigger,Тест на знание триггерных точек и их лечения,Test de cunoaștere a punctelor trigger și tratamentul lor,Триггерная точка в какой мышце может вызывать головокружение?,Punctul trigger în ce mușchi poate cauza amețeală?,Трапециевидная,Trapez,Грудино-ключично-сосцевидная,Sternocleidomastoidian,Дельтовидная,Deltoid,Широчайшая,Latissimus dorsi,1
massage-techniques,Техники массажа,Tehnici de masaj,Тест на знание основных техник массажа,Test de cunoaștere a tehnicilor de bază de masaj,Какая техника выполняется в начале и в конце массажа?,Ce tehnică se efectuează la începutul și la sfârșitul masajului?,Поглаживание,Alinare effleurage,Растирание,Frecare,Разминание,Frământare,Вибрация,Vibrație,0
massage-techniques,Техники массажа,Tehnici de masaj,Тест на знание основных техник массажа,Test de cunoaștere a tehnicilor de bază de masaj,В каком направлении выполняется лимфодренажный массаж?,În ce direcție se efectuează masajul de drenaj limfatic?,От периферии к центру,De la periferie la centru,От центра к периферии,De la centru la periferie,В любом направлении,În orice direcție,По часовой стрелке,În sens orar,0
massage-techniques,Техники массажа,Tehnici de masaj,Тест на знание основных техник массажа,Test de cunoaștere a tehnicilor de bază de masaj,Какое давление используется при классическом массаже?,Ce presiune se folosește la masajul clasic?,Только поверхностное,Doar superficială,Только глубокое,Doar profundă,От поверхностного к глубокому,De la superficial la profund,Только средней интенсивности,Doar de intensitate medie,2
massage-techniques,Техники массажа,Tehnici de masaj,Тест на знание основных техник массажа,Test de cunoaștere a tehnicilor de bază de masaj,Что является противопоказанием для массажа?,Ce este contraindicație pentru masaj?,Хроническая боль в спине,Durere cronică de spate,Мышечное напряжение,Tensiune musculară,Высокая температура тела,Temperatură corporală ridicată,Усталость,Oboseală,2
massage-techniques,Техники массажа,Tehnici de masaj,Тест на знание основных техник массажа,Test de cunoaștere a tehnicilor de bază de masaj,Какая техника наиболее эффективна для разогрева тканей?,Ce tehnică este cea mai eficientă pentru încălzirea țesuturilor?,Поглаживание,Alinare,Растирание,Frecare,Похлопывание,Tapotare,Вибрация,Vibrație,1